Empresa,Dominio,Sector,Ciudad,Empleados,Fase,Importe (€),Inversores,Fecha Anuncio,Descripción Ronda,En HubSpot,Cliente Actual,HS Record ID,HS Link,Prioridad,Deal Creado,Notas SDR
Wio Capital,wiocapital.com,Fintech / Wealth Management IA,Madrid,30,Seed,1200000,"Next Tier Ventures, Bynd VC",14/05/2026,"Startup especializada en infraestructura de gestión patrimonial (wealth management) impulsada por agentes de IA autónoma. Cerró una ronda seed de 1,2M€ liderada por Next Tier Ventures y Bynd VC para acelerar el desarrollo de su plataforma. Permite a bancos, asesores y gestoras hiperautomatizar análisis financiero, reporting y cumplimiento normativo 24/7.",NO,N/D,,,Media,Si,Juan Ignacio
Dolfin,heydolfin.com,SaaS / Sales Compensation / RevOps,Barcelona,20,Seed,2300000,"Swanlaab, Archipelago Next, Inveready, Dozen",14/05/2026,"Plataforma AI-native para la gestión de compensación comercial de equipos de ventas. Cerró una ronda seed de $2,5M liderada por Swanlaab para acelerar desarrollo de producto y expansión en Europa y EE.UU. Permite a equipos de RevOps y Finanzas diseñar y adaptar planes de incentivos en tiempo real sin hojas de cálculo ni consultores externos.",NO,N/D,,,Media,Si,Ignacio Jose
ORBIK Cybersecurity,orbik-cybersecurity.com,Ciberseguridad Industrial,Arrasate (País Vasco),50,Seed,2000000,"MONDRAGON, IKERLAN, Gestión de Capital Riesgo del País Vasco",22/05/2026,"Orbik Cybersecurity (2023) es una cooperativa tecnológica vasca especializada en ciberseguridad industrial de producto. Cerró una ampliación de capital de €2M respaldada por sus socios MONDRAGON, IKERLAN y el Gobierno Vasco para financiar su plan de expansión hasta 2030, con objetivo de alcanzar 65 profesionales y 100 nuevos clientes en mercados industriales europeos.",SÍ,NO — Lead,26192286771,https://app.hubspot.com/contacts/8564339/company/26192286771,Media,Si,Juan Borreda
Overwatch AI,overwatch-ai.com,Aeronáutica / IA Operacional,Barcelona,20,Pre-Seed,1300000,"United Airlines Ventures, Baobab Ventures, Pegasus Innovation Lab, Masia",20/05/2026,"Overwatch AI (2025) desarrolla una plataforma de inteligencia operacional con IA para aerolíneas, centralizando documentación de aviación, datos operacionales y procedimientos de seguridad en un único entorno. Levantó $1.5M (~€1.3M) en Pre-Seed para escalar su plataforma Wingman, ya activa en 30.000 vuelos mensuales.",NO,N/D,,,Baja,Si,Juan Ignacio
Kanara,kanaralabs.com,Biotecnología / Agricultura Celular,Santa Cruz de Tenerife (Canarias),10,Pre-Seed,499000,EIC (European Innovation Council),19/05/2026,"Kanara (2021, Canarias) es la única empresa española seleccionada en el EIC Pre-accelerator de esta convocatoria. Su plataforma convierte células vegetales en biofábricas para producir ingredientes activos farmacéuticos y biocombustibles sin cultivos extensivos. Los €499K financiarán el escalado industrial y la optimización de sus biorreactores modulares.",NO,N/D,,,Baja,No,
Flipflow,flipflow.io,Retail Intelligence / IA,Alcobendas,50,Seed,3000000,"4Founders Capital, Decelera Ventures, Secways, PUIG, Mango, Angels Capital",01/06/2026,"Plataforma de inteligencia competitiva impulsada por IA para el sector retail, que monitoriza millones de productos en miles de retailers a nivel global. Levanta €3M para impulsar Tyrell AI (agente autónomo) y expandirse al norte de Europa y EEUU. Trabaja con Nestlé, Unilever, L'Oréal e ISDIN.",SÍ,NO — Lead,20926259529,https://app.hubspot.com/contacts/8564339/company/20926259529,Media,Si,Ignacio Jose
TRAK,trakphysio.com,Healthtech / Rehabilitación Digital,Valencia,40,Seed,3700000,"CRB Health Tech, Angels Capital, Decelera",16/06/2026,"Clínica de rehabilitación física 100% digital que guía ejercicios en tiempo real mediante IA a través de la cámara del móvil, con supervisión de fisioterapeuta en remoto. Levanta €3.7M para expansión internacional (Colombia, Europa, LATAM) y liderazgo en IA clínica. Presente en +300 centros asistenciales.",SÍ,NO — Lead,54989233987,https://app.hubspot.com/contacts/8564339/company/54989233987,Media,No,
Node.ai,nodetech.ai,Fintech / IA para Gestión de Activos,Madrid,15,Seed,1500000,ZMEX Capital Management,19/06/2026,"Fintech española especializada en soluciones de inteligencia artificial para la gestión de activos y patrimonio, automatizando análisis, valoración y seguimiento de inversiones en mercados privados. Levanta €1.5M con ZMEX Capital como socio estratégico para reforzar producto y expandirse por Europa (banca privada, gestoras y family offices).",NO,N/D,,,Media,No,
Optiak,optiak.ai,IA / Infraestructura,Madrid,20,Seed,4000000,"Market One Capital, Next Tier Ventures, EA Ventures, Plug and Play EMEA Fund, Mission",19/06/2026,"Startup española que ofrece una capa de operación entre aplicaciones de IA y modelos subyacentes, gestionando seguridad, gobernanza, memoria y optimización desde un único punto. Levanta €4M liderada por Market One Capital, con respaldo de ex-inversores de SpaceX, Amazon y Stripe, para escalar su infraestructura AI enterprise.",NO,N/D,,,Media,Si,Paco
Floox,flooxpower.com,CleanTech / Movilidad Eléctrica,L'Hospitalet de Llobregat,25,Seed,2000000,"Inclimo Climate Tech Fund, Avançsa (Generalitat de Catalunya)",22/06/2026,"Fabricante barcelonés de cargadores rápidos DC para vehículos eléctricos (7kW-400kW), con diseño y fabricación local en Barcelona y eficiencia superior al 97%. Levanta €2M liderada por Inclimo para certificaciones europeas y refuerzo comercial internacional. Su plataforma FlooxCare ofrece monitorización remota y mantenimiento predictivo.",NO,N/D,,,Media,Si,Georgina
WAIIS,waiis.eco,Movilidad Compartida,Barcelona,20,Pre-Seed,1000000,Inversores privados y empresas (Hiberus como partner tecnológico),23/06/2026,"Super app de movilidad compartida española que conecta conductores y pasajeros con trayectos compatibles mediante IA y análisis de patrones, aspirando a ser la app de referencia de movilidad compartida en España. Levanta €1M para crecimiento nacional, con facturación de €2M en 2025 y objetivo de €5M en 2026 (+12% mensual).",NO,N/D,,,Baja,No,
Citring,citring.com,Foodtech / Hardware,Barcelona,10,Pre-Seed,920000,"Faraday Venture Partners, Angels Capital, Rafa Olmos, Zummo Innovaciones",23/06/2026,"Startup española que diseña y fabrica exprimidores domésticos automáticos inteligentes (Citring One) en instalaciones cercanas a Barcelona, con distribución en Mi Electro (+500 tiendas). Levanta €920K liderada por Faraday Venture Partners para acelerar crecimiento comercial y expansión internacional.",NO,N/D,,,Baja,No,
FOSSA Systems,fossa.systems,Aeroespacial / Defensa / IoT,Madrid,55,Serie A,9250000,"Kibo Ventures, SETT (Ministerio Transformación Digital), Space Frontiers Fund II, Indico Capital, WISeSAT",24/06/2026,"Empresa española con más satélites lanzados a órbita del país, desarrollando infraestructura satelital IoT, comunicaciones seguras e inteligencia desde el espacio (SIGINT). Levanta €9.25M liderada por Kibo Ventures para acelerar su constelación de 140 satélites, expandirse a Tokio y reforzar capacidades de defensa (programa DIANA de la OTAN).",SÍ,N/D,8272652329,https://app.hubspot.com/contacts/8564339/company/8272652329,Alta,No,
Mafer AI,mafer.ai,Inteligencia Artificial,Barcelona,10,Pre-Seed,2000000,Plus Partners,29/05/2026,Startup española de IA que desarrolla personajes virtuales con economía propia. Cierra ronda Pre-Seed de €2M liderada por Plus Partners para acelerar su plataforma de agentes IA y expandir el equipo técnico.,NO,N/D,,,Baja,No,
