Empresa,Dominio,Sector,Ciudad,Empleados,Fase,Importe (€),Inversores,Fecha Anuncio,Descripción Ronda,En HubSpot,Cliente Actual,HS Record ID,HS Link,Prioridad,Deal Creado,Notas SDR
Wio Capital,wiocapital.com,Fintech / Wealth Management IA,Madrid,30,Seed,1200000,"Next Tier Ventures, Bynd VC",14/05/2026,"Startup especializada en infraestructura de gestión patrimonial (wealth management) impulsada por agentes de IA autónoma. Cerró una ronda seed de 1,2M€ liderada por Next Tier Ventures y Bynd VC para acelerar el desarrollo de su plataforma. Permite a bancos, asesores y gestoras hiperautomatizar análisis financiero, reporting y cumplimiento normativo 24/7.",NO,N/D,,,Media,Si,Juan Ignacio
Dolfin,heydolfin.com,SaaS / Sales Compensation / RevOps,Barcelona,20,Seed,2300000,"Swanlaab, Archipelago Next, Inveready, Dozen",14/05/2026,"Plataforma AI-native para la gestión de compensación comercial de equipos de ventas. Cerró una ronda seed de $2,5M liderada por Swanlaab para acelerar desarrollo de producto y expansión en Europa y EE.UU. Permite a equipos de RevOps y Finanzas diseñar y adaptar planes de incentivos en tiempo real sin hojas de cálculo ni consultores externos.",NO,N/D,,,Media,Si,Ignacio Jose
ORBIK Cybersecurity,orbik-cybersecurity.com,Ciberseguridad Industrial,Arrasate (País Vasco),50,Seed,2000000,"MONDRAGON, IKERLAN, Gestión de Capital Riesgo del País Vasco",22/05/2026,"Orbik Cybersecurity (2023) es una cooperativa tecnológica vasca especializada en ciberseguridad industrial de producto. Cerró una ampliación de capital de €2M respaldada por sus socios MONDRAGON, IKERLAN y el Gobierno Vasco para financiar su plan de expansión hasta 2030, con objetivo de alcanzar 65 profesionales y 100 nuevos clientes en mercados industriales europeos.",SÍ,NO — Lead,26192286771,https://app.hubspot.com/contacts/8564339/company/26192286771,Media,Si,Juan Borreda
Overwatch AI,overwatch-ai.com,Aeronáutica / IA Operacional,Barcelona,20,Pre-Seed,1300000,"United Airlines Ventures, Baobab Ventures, Pegasus Innovation Lab, Masia",20/05/2026,"Overwatch AI (2025) desarrolla una plataforma de inteligencia operacional con IA para aerolíneas, centralizando documentación de aviación, datos operacionales y procedimientos de seguridad en un único entorno. Levantó $1.5M (~€1.3M) en Pre-Seed para escalar su plataforma Wingman, ya activa en 30.000 vuelos mensuales.",NO,N/D,,,Baja,Si,Juan Ignacio
Kanara,kanaralabs.com,Biotecnología / Agricultura Celular,Santa Cruz de Tenerife (Canarias),10,Pre-Seed,499000,EIC (European Innovation Council),19/05/2026,"Kanara (2021, Canarias) es la única empresa española seleccionada en el EIC Pre-accelerator de esta convocatoria. Su plataforma convierte células vegetales en biofábricas para producir ingredientes activos farmacéuticos y biocombustibles sin cultivos extensivos. Los €499K financiarán el escalado industrial y la optimización de sus biorreactores modulares.",NO,N/D,,,Baja,No,
Flipflow,flipflow.io,Retail Intelligence / IA,Alcobendas,50,Seed,3000000,"4Founders Capital, Decelera Ventures, Secways, PUIG, Mango, Angels Capital",01/06/2026,"Plataforma de inteligencia competitiva impulsada por IA para el sector retail, que monitoriza millones de productos en miles de retailers a nivel global. Levanta €3M para impulsar Tyrell AI (agente autónomo) y expandirse al norte de Europa y EEUU. Trabaja con Nestlé, Unilever, L'Oréal e ISDIN.",SÍ,NO — Lead,20926259529,https://app.hubspot.com/contacts/8564339/company/20926259529,Media,Si,Ignacio Jose
TRAK,trakphysio.com,Healthtech / Rehabilitación Digital,Valencia,40,Seed,3700000,"CRB Health Tech, Angels Capital, Decelera",16/06/2026,"Clínica de rehabilitación física 100% digital que guía ejercicios en tiempo real mediante IA a través de la cámara del móvil, con supervisión de fisioterapeuta en remoto. Levanta €3.7M para expansión internacional (Colombia, Europa, LATAM) y liderazgo en IA clínica. Presente en +300 centros asistenciales.",SÍ,NO — Lead,54989233987,https://app.hubspot.com/contacts/8564339/company/54989233987,Media,No,
Node.ai,nodetech.ai,Fintech / IA para Gestión de Activos,Madrid,15,Seed,1500000,ZMEX Capital Management,19/06/2026,"Fintech española especializada en soluciones de inteligencia artificial para la gestión de activos y patrimonio, automatizando análisis, valoración y seguimiento de inversiones en mercados privados. Levanta €1.5M con ZMEX Capital como socio estratégico para reforzar producto y expandirse por Europa (banca privada, gestoras y family offices).",NO,N/D,,,Media,No,
Optiak,optiak.ai,IA / Infraestructura,Madrid,20,Seed,4000000,"Market One Capital, Next Tier Ventures, EA Ventures, Plug and Play EMEA Fund, Mission",19/06/2026,"Startup española que ofrece una capa de operación entre aplicaciones de IA y modelos subyacentes, gestionando seguridad, gobernanza, memoria y optimización desde un único punto. Levanta €4M liderada por Market One Capital, con respaldo de ex-inversores de SpaceX, Amazon y Stripe, para escalar su infraestructura AI enterprise.",NO,N/D,,,Media,Si,Paco
Floox,flooxpower.com,CleanTech / Movilidad Eléctrica,L'Hospitalet de Llobregat,25,Seed,2000000,"Inclimo Climate Tech Fund, Avançsa (Generalitat de Catalunya)",22/06/2026,"Fabricante barcelonés de cargadores rápidos DC para vehículos eléctricos (7kW-400kW), con diseño y fabricación local en Barcelona y eficiencia superior al 97%. Levanta €2M liderada por Inclimo para certificaciones europeas y refuerzo comercial internacional. Su plataforma FlooxCare ofrece monitorización remota y mantenimiento predictivo.",NO,N/D,,,Media,Si,Georgina
WAIIS,waiis.eco,Movilidad Compartida,Barcelona,20,Pre-Seed,1000000,Inversores privados y empresas (Hiberus como partner tecnológico),23/06/2026,"Super app de movilidad compartida española que conecta conductores y pasajeros con trayectos compatibles mediante IA y análisis de patrones, aspirando a ser la app de referencia de movilidad compartida en España. Levanta €1M para crecimiento nacional, con facturación de €2M en 2025 y objetivo de €5M en 2026 (+12% mensual).",NO,N/D,,,Baja,No,
Citring,citring.com,Foodtech / Hardware,Barcelona,10,Pre-Seed,920000,"Faraday Venture Partners, Angels Capital, Rafa Olmos, Zummo Innovaciones",23/06/2026,"Startup española que diseña y fabrica exprimidores domésticos automáticos inteligentes (Citring One) en instalaciones cercanas a Barcelona, con distribución en Mi Electro (+500 tiendas). Levanta €920K liderada por Faraday Venture Partners para acelerar crecimiento comercial y expansión internacional.",NO,N/D,,,Baja,No,
FOSSA Systems,fossa.systems,Aeroespacial / Defensa / IoT,Madrid,55,Serie A,9250000,"Kibo Ventures, SETT (Ministerio Transformación Digital), Space Frontiers Fund II, Indico Capital, WISeSAT",24/06/2026,"Empresa española con más satélites lanzados a órbita del país, desarrollando infraestructura satelital IoT, comunicaciones seguras e inteligencia desde el espacio (SIGINT). Levanta €9.25M liderada por Kibo Ventures para acelerar su constelación de 140 satélites, expandirse a Tokio y reforzar capacidades de defensa (programa DIANA de la OTAN).",SÍ,N/D,8272652329,https://app.hubspot.com/contacts/8564339/company/8272652329,Alta,No,
Mafer AI,mafer.ai,Inteligencia Artificial,Barcelona,10,Pre-Seed,2000000,Plus Partners,29/05/2026,Startup española de IA que desarrolla personajes virtuales con economía propia. Cierra ronda Pre-Seed de €2M liderada por Plus Partners para acelerar su plataforma de agentes IA y expandir el equipo técnico.,NO,N/D,,,Baja,No,
Tokenized Green (twelve.),tokenizedgreen.es,Fintech / Neobanca de Impacto,Burgos,15,Seed,1099998,"Wolver Ventures, Fundación Caja de Burgos, business angels",03/07/2026,"Compañía española de inversión de impacto que lanza twelve., un neobanco pensado para la generación joven que vincula parte del beneficio bancario a carteras de impacto (vivienda, salud, educación, medioambiente). Ronda de 1,1M€ liderada por Wolver Ventures para desarrollo de producto y salida al mercado prevista en diciembre de 2026.",NO,N/D,,https://app.hubspot.com/contacts/8564339/record/0-3/62465525574/,Media,Si,Rodrigo
Balance,findbalance.app,Healthtech / Ehealth (Obesidad),Andalucía,10,Seed,3000000,"Shilling VC, JME, Atresmedia Capital, business angels",06/07/2026,"Plataforma tecnológica para el tratamiento integral de la obesidad (Método Balance®: medicina, nutrición, ejercicio y apoyo emocional). Cierra ronda seed de 3M€ liderada por Shilling VC, valorando la compañía en 15M€, para reforzar equipo y preparar una Serie A en 2027.",SÍ,NO — MQL,30910958683,https://app.hubspot.com/contacts/8564339/company/30910958683,Media,Si,Ignacio Jose
Sherpa.ai,sherpa.ai,Inteligencia Artificial / Soberanía del Dato,Erandio (Bizkaia),14,Serie B,15750000,"Forgepoint Capital, Mundi Ventures, Ekarpen, Allegra Holdings, SETT",06/07/2026,"Plataforma de IA centrada en privacidad, seguridad y soberanía del dato para grandes corporaciones y gobiernos (aprendizaje federado). Cierra ronda de 18M$ (~15,75M€) liderada por Forgepoint Capital para acelerar su expansión internacional en sanidad, banca, industria, ciberseguridad y defensa.",SÍ,SÍ — Cliente,6206467984,https://app.hubspot.com/contacts/8564339/company/6206467984,Alta,Si,KAM
8Layers,8layers.io,Cybersecurity / Identidad Digital,Madrid,15,Pre-Seed,1000000,"Criteria Venture Tech (CriteriaCaixa), Bankinter",07/07/2026,"Startup madrileña especializada en protección de identidades digitales (ISPM, ITDR, cumplimiento ENS/NIS2/ISO27001). Amplía su ronda pre-seed en 1M€ (total acumulado 2,5M€) con la entrada de Criteria Venture Tech y Bankinter como inversores estratégicos.",NO,N/D,,https://app.hubspot.com/contacts/8564339/record/0-3/62465525908/,Baja,Si,Georgina
CoCircular,cocircular.es,ClimaTech / Economía Circular,Castellón,25,Seed,1900000,"Seven Seas Capital, Angels Capital, Hortensia Roig, Savana Global, Zubi Labs",21/07/2026,"Startup de impacto especializada en gestión circular de residuos, trazabilidad y digitalización del sector constructivo. Cerró €1.9M liderados por Seven Seas Capital para expandirse a industria y textil con su plataforma SaaS 360º Advisor. Los fondos financiarán IA, duplicación de plantilla y multiplicar por ocho la cifra de negocio.",SÍ,NO — N/D,9131545256,https://app.hubspot.com/contacts/8564339/record/0-2/9131545256,Media,,
Mentelem,mentelem.com,HealthTech / HR Tech,Valencia,12,Pre-Seed,600000,"Successful Fund I FCRE, Ángel Alberich-Bayarrí (Quibim), Rubén García Santos (Osasuna)",22/07/2026,"Healthtech de salud mental corporativa que combina criterio clínico, IA y analítica de datos para evaluar y prevenir el malestar psicológico en empresas. Cerró €600K con Successful Fund I FCRE para escalar su modelo clínico en España. Los fondos reforzarán IA avanzada, equipo clínico, área comercial y expansión nacional.",SÍ,NO — Lead,40100421998,https://app.hubspot.com/contacts/8564339/record/0-2/40100421998,Baja,,
PageMind,pagemind.ai,AI / E-commerce,Barcelona,10,Seed,1200000,"4Founders Capital, David Martín (Tradeinn), Javier Pérez-Tenessa (eDreams)",24/07/2026,"Plataforma B2B de IA generativa para optimizar catálogos de retail digital para motores de búsqueda conversacionales como ChatGPT, Gemini y Perplexity. Levantó €1.2M Seed liderados por 4Founders Capital para acelerar ingeniería, ampliar equipo técnico y escalar en EE.UU. Analiza intención de compra en tiempo real para generar descripciones de producto adaptadas a búsquedas por IA.",NO,,,,Media,,
Onalabs,onalabs.com,DeepTech / HealthTech,Barcelona,30,Serie A,9300000,"SETT (Ministerio), 1921 Ventures, nPrime, Reig Patrimonia, WA4STEAM",27/07/2026,"Deep tech especializada en monitorización continua y no invasiva de la salud a través del sudor, con aplicaciones en deporte (ONASPORT) y salud clínica (ONAVITAL). Captó €9.3M en Serie A para industrializar ONASPORT, avanzar en validación clínica de ONAVITAL y expandirse internacionalmente. Cuenta con 6 patentes, pilotos con 10+ hospitales y alianza estratégica con FC Barcelona y Garmin.",NO,,,,Alta,,
Ratio,ratio.cx,PropTech / AI,Madrid,8,Seed,400000,Business angels (privados),27/07/2026,"Solución integral de gestión de proyectos inmobiliarios que lanza Ratio AI, el primer agente de IA basado en Claude de Anthropic para promotoras. Captó €400K para desarrollar este agente que ejecuta reporting financiero, previsión de tesorería y gestión operativa directamente sobre los datos de cada promoción en minutos. Gestiona ya operaciones por +€18M con más de 200 inversores en una decena de promociones.",NO,,,,Baja,,
Tripjoin,tripjoin.es,TravelTech,Barcelona,6,Pre-Seed,300000,"Encomenda Seed II, Oriol de Pablo (Vicio), Marc Ros (After), Óscar Grifols (Padolç)",28/07/2026,"Plataforma marketplace que permite a creadores de contenido y comunidades organizar, gestionar y monetizar viajes en grupo desde una única herramienta. Cerró €300K liderados por Encomenda Seed II para acelerar desarrollo de producto, reforzar equipo y expandirse a Italia y Portugal. En sus primeros 12 meses gestionó más de 1.100 viajeros y €500K en volumen de viajes con crecimiento orgánico.",NO,,,,Baja,,
